Unique ID,Indicator ID,Name,Measure Info,UHF34 Zone,Time Period,Start_Date,Data Value
172653,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2011,2010-12-01,25.3
172585,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2009,2008-12-01,26.93
336637,375,Nitrogen dioxide (NO2),ppb,204,Annual Average 2015,2015-01-01,19.09
336622,375,Nitrogen dioxide (NO2),ppb,103,Annual Average 2015,2015-01-01,19.76
172582,375,Nitrogen dioxide (NO2),ppb,104,Annual Average 2009,2008-12-01,22.83
667327,375,Nitrogen dioxide (NO2),ppb,104,Annual Average 2020,2020-01-01,16.19
172607,375,Nitrogen dioxide (NO2),ppb,306308,Annual Average 2009,2008-12-01,38.16
172675,375,Nitrogen dioxide (NO2),ppb,306308,Annual Average 2011,2010-12-01,34.96
175345,375,Nitrogen dioxide (NO2),ppb,206,Winter 2010-11,2010-12-01,30.1
176689,375,Nitrogen dioxide (NO2),ppb,206,Annual Average 2013,2012-12-01,20.23
176682,375,Nitrogen dioxide (NO2),ppb,105106107,Annual Average 2013,2012-12-01,23.73
336507,375,Nitrogen dioxide (NO2),ppb,105106107,Winter 2014-15,2014-12-01,26.0
740910,375,Nitrogen dioxide (NO2),ppb,105106107,Annual Average 2021,2021-01-01,18.04
175348,375,Nitrogen dioxide (NO2),ppb,209,Winter 2010-11,2010-12-01,28.44
175894,375,Nitrogen dioxide (NO2),ppb,209,Summer 2009,2009-06-01,18.95
175895,375,Nitrogen dioxide (NO2),ppb,210,Summer 2009,2009-06-01,15.22
175349,375,Nitrogen dioxide (NO2),ppb,210,Winter 2010-11,2010-12-01,25.7
176693,375,Nitrogen dioxide (NO2),ppb,210,Annual Average 2013,2012-12-01,16.36
741006,375,Nitrogen dioxide (NO2),ppb,410,Annual Average 2021,2021-01-01,11.41
171599,375,Nitrogen dioxide (NO2),ppb,203,Winter 2009-10,2009-12-01,28.86
549907,375,Nitrogen dioxide (NO2),ppb,204,Summer 2017,2017-06-01,13.39
602850,375,Nitrogen dioxide (NO2),ppb,204,Summer 2018,2018-06-01,11.97
171595,375,Nitrogen dioxide (NO2),ppb,103,Winter 2009-10,2009-12-01,23.87
549895,375,Nitrogen dioxide (NO2),ppb,104,Summer 2017,2017-06-01,14.14
643458,375,Nitrogen dioxide (NO2),ppb,201,Winter 2018-19,2018-12-01,26.69
211654,375,Nitrogen dioxide (NO2),ppb,101,Summer 2014,2014-06-01,13.55
643446,375,Nitrogen dioxide (NO2),ppb,101,Winter 2018-19,2018-12-01,18.32
211655,375,Nitrogen dioxide (NO2),ppb,102,Summer 2014,2014-06-01,15.4
643449,375,Nitrogen dioxide (NO2),ppb,102,Winter 2018-19,2018-12-01,19.11
211674,375,Nitrogen dioxide (NO2),ppb,402,Summer 2014,2014-06-01,16.64
643506,375,Nitrogen dioxide (NO2),ppb,402,Winter 2018-19,2018-12-01,24.36
172662,375,Nitrogen dioxide (NO2),ppb,301,Annual Average 2011,2010-12-01,25.56
667399,375,Nitrogen dioxide (NO2),ppb,301,Annual Average 2020,2020-01-01,18.08
175885,375,Nitrogen dioxide (NO2),ppb,107,Summer 2009,2009-06-01,23.0
176683,375,Nitrogen dioxide (NO2),ppb,107,Annual Average 2013,2012-12-01,21.54
740913,375,Nitrogen dioxide (NO2),ppb,107,Annual Average 2021,2021-01-01,18.52
175892,375,Nitrogen dioxide (NO2),ppb,207,Summer 2009,2009-06-01,21.39
336531,375,Nitrogen dioxide (NO2),ppb,207,Winter 2014-15,2014-12-01,25.7
175347,375,Nitrogen dioxide (NO2),ppb,208,Winter 2010-11,2010-12-01,26.24
175913,375,Nitrogen dioxide (NO2),ppb,407,Summer 2009,2009-06-01,18.59
172663,375,Nitrogen dioxide (NO2),ppb,302,Annual Average 2011,2010-12-01,28.23
211670,375,Nitrogen dioxide (NO2),ppb,302,Summer 2014,2014-06-01,19.54
336664,375,Nitrogen dioxide (NO2),ppb,302,Annual Average 2015,2015-01-01,23.15
643494,375,Nitrogen dioxide (NO2),ppb,302,Winter 2018-19,2018-12-01,24.69
549903,375,Nitrogen dioxide (NO2),ppb,202,Winter 2016-17,2016-12-01,26.27
602844,375,Nitrogen dioxide (NO2),ppb,202,Summer 2018,2018-06-01,16.37
602829,375,Nitrogen dioxide (NO2),ppb,101,Summer 2018,2018-06-01,11.69
549886,375,Nitrogen dioxide (NO2),ppb,101,Summer 2017,2017-06-01,13.02
211757,375,Nitrogen dioxide (NO2),ppb,102,Annual Average 2014,2013-12-01,18.97
549889,375,Nitrogen dioxide (NO2),ppb,102,Summer 2017,2017-06-01,14.37
602832,375,Nitrogen dioxide (NO2),ppb,102,Summer 2018,2018-06-01,13.05
175297,375,Nitrogen dioxide (NO2),ppb,107,Winter 2009-10,2009-12-01,26.48
175381,375,Nitrogen dioxide (NO2),ppb,107,Winter 2011-12,2011-12-01,25.17
336652,375,Nitrogen dioxide (NO2),ppb,209,Annual Average 2015,2015-01-01,18.62
643482,375,Nitrogen dioxide (NO2),ppb,209,Winter 2018-19,2018-12-01,20.53
667381,375,Nitrogen dioxide (NO2),ppb,209,Annual Average 2020,2020-01-01,14.81
172593,375,Nitrogen dioxide (NO2),ppb,211,Annual Average 2009,2008-12-01,27.13
172661,375,Nitrogen dioxide (NO2),ppb,211,Annual Average 2011,2010-12-01,25.75
336658,375,Nitrogen dioxide (NO2),ppb,211,Annual Average 2015,2015-01-01,21.27
211668,375,Nitrogen dioxide (NO2),ppb,211,Summer 2014,2014-06-01,17.0
336709,375,Nitrogen dioxide (NO2),ppb,501502,Annual Average 2015,2015-01-01,16.0
643539,375,Nitrogen dioxide (NO2),ppb,501502,Winter 2018-19,2018-12-01,18.62
667495,375,Nitrogen dioxide (NO2),ppb,501502,Annual Average 2020,2020-01-01,13.11
549782,375,Nitrogen dioxide (NO2),ppb,201,Annual Average 2017,2017-01-01,21.19
740916,375,Nitrogen dioxide (NO2),ppb,201,Annual Average 2021,2021-01-01,20.55
175333,375,Nitrogen dioxide (NO2),ppb,101,Winter 2010-11,2010-12-01,25.48
175371,375,Nitrogen dioxide (NO2),ppb,501502,Winter 2010-11,2010-12-01,27.72
336606,375,Nitrogen dioxide (NO2),ppb,501502,Winter 2014-15,2014-12-01,22.69
549875,375,Nitrogen dioxide (NO2),ppb,501502,Annual Average 2017,2017-01-01,16.98
549924,375,Nitrogen dioxide (NO2),ppb,209,Winter 2016-17,2016-12-01,23.78
602865,375,Nitrogen dioxide (NO2),ppb,209,Summer 2018,2018-06-01,11.47
667383,375,Nitrogen dioxide (NO2),ppb,209,Summer 2020,2020-06-01,9.8
171607,375,Nitrogen dioxide (NO2),ppb,211,Winter 2009-10,2009-12-01,28.63
211770,375,Nitrogen dioxide (NO2),ppb,211,Annual Average 2014,2013-12-01,22.2
602871,375,Nitrogen dioxide (NO2),ppb,211,Summer 2018,2018-06-01,15.84
549897,375,Nitrogen dioxide (NO2),ppb,104,Winter 2016-17,2016-12-01,25.91
211777,375,Nitrogen dioxide (NO2),ppb,403,Annual Average 2014,2013-12-01,19.45
667437,375,Nitrogen dioxide (NO2),ppb,403,Summer 2020,2020-06-01,11.03
175303,375,Nitrogen dioxide (NO2),ppb,206,Winter 2009-10,2009-12-01,28.09
175387,375,Nitrogen dioxide (NO2),ppb,206,Winter 2011-12,2011-12-01,23.5
667221,375,Nitrogen dioxide (NO2),ppb,309310,Summer 2020,2020-06-01,16.58
549841,375,Nitrogen dioxide (NO2),ppb,309310,Summer 2017,2017-06-01,22.95
549843,375,Nitrogen dioxide (NO2),ppb,309310,Winter 2016-17,2016-12-01,30.24
549796,375,Nitrogen dioxide (NO2),ppb,206,Summer 2017,2017-06-01,13.77
549798,375,Nitrogen dioxide (NO2),ppb,206,Winter 2016-17,2016-12-01,25.04
175306,375,Nitrogen dioxide (NO2),ppb,209,Winter 2009-10,2009-12-01,26.54
602748,375,Nitrogen dioxide (NO2),ppb,209,Summer 2018,2018-06-01,11.47
175391,375,Nitrogen dioxide (NO2),ppb,210,Winter 2011-12,2011-12-01,19.46
212558,375,Nitrogen dioxide (NO2),ppb,210,Annual Average 2014,2013-12-01,17.63
175412,375,Nitrogen dioxide (NO2),ppb,410,Winter 2011-12,2011-12-01,15.89
549870,375,Nitrogen dioxide (NO2),ppb,409,Winter 2016-17,2016-12-01,24.02
171678,375,Nitrogen dioxide (NO2),ppb,303,Winter 2011-12,2011-12-01,27.76
171611,375,Nitrogen dioxide (NO2),ppb,304,Winter 2009-10,2009-12-01,30.23
171633,375,Nitrogen dioxide (NO2),ppb,203,Winter 2010-11,2010-12-01,32.21
172075,375,Nitrogen dioxide (NO2),ppb,203,Summer 2009,2009-06-01,23.2
172721,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2013,2012-12-01,22.28
171634,375,Nitrogen dioxide (NO2),ppb,204,Winter 2010-11,2010-12-01,30.26
336639,375,Nitrogen dioxide (NO2),ppb,204,Winter 2014-15,2014-12-01,24.99
741042,375,Nitrogen dioxide (NO2),ppb,204,Annual Average 2021,2021-01-01,16.12
172071,375,Nitrogen dioxide (NO2),ppb,103,Summer 2009,2009-06-01,21.15
336624,375,Nitrogen dioxide (NO2),ppb,103,Winter 2014-15,2014-12-01,23.33
172718,375,Nitrogen dioxide (NO2),ppb,104,Annual Average 2013,2012-12-01,18.58
549896,375,Nitrogen dioxide (NO2),ppb,104,Annual Average 2017,2017-01-01,18.72
741084,375,Nitrogen dioxide (NO2),ppb,403,Annual Average 2021,2021-01-01,15.66
172742,375,Nitrogen dioxide (NO2),ppb,305307,Annual Average 2013,2012-12-01,32.1
172096,375,Nitrogen dioxide (NO2),ppb,305307,Summer 2009,2009-06-01,35.65
741102,375,Nitrogen dioxide (NO2),ppb,305307,Annual Average 2021,2021-01-01,21.83
172097,375,Nitrogen dioxide (NO2),ppb,306308,Summer 2009,2009-06-01,35.28
549799,375,Nitrogen dioxide (NO2),ppb,207,Summer 2017,2017-06-01,13.75
212556,375,Nitrogen dioxide (NO2),ppb,208,Annual Average 2014,2013-12-01,17.0
549802,375,Nitrogen dioxide (NO2),ppb,208,Summer 2017,2017-06-01,10.26
175325,375,Nitrogen dioxide (NO2),ppb,407,Winter 2009-10,2009-12-01,26.12
549864,375,Nitrogen dioxide (NO2),ppb,407,Winter 2016-17,2016-12-01,24.86
549867,375,Nitrogen dioxide (NO2),ppb,408,Winter 2016-17,2016-12-01,24.81
602808,375,Nitrogen dioxide (NO2),ppb,408,Summer 2018,2018-06-01,12.77
211772,375,Nitrogen dioxide (NO2),ppb,302,Annual Average 2014,2013-12-01,23.86
549934,375,Nitrogen dioxide (NO2),ppb,302,Summer 2017,2017-06-01,18.89
549936,375,Nitrogen dioxide (NO2),ppb,302,Winter 2016-17,2016-12-01,28.51
741033,375,Nitrogen dioxide (NO2),ppb,201,Annual Average 2021,2021-01-01,20.55
