Unique ID,Indicator ID,Name,Measure Info,UHF34 Zone,Time Period,Start_Date,Data Value,OBJECTID,GEOCODE,BOROUGH,GEONAME,UHF
172653,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2011,2010-12-01,0.9015072452203791,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
172585,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2009,2008-12-01,1.0868499431389147,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
171599,375,Nitrogen dioxide (NO2),ppb,203,Winter 2009-10,2009-12-01,1.306304794048592,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
171633,375,Nitrogen dioxide (NO2),ppb,203,Winter 2010-11,2010-12-01,1.6872238357830058,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
172075,375,Nitrogen dioxide (NO2),ppb,203,Summer 2009,2009-06-01,0.6627221742823881,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
172721,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2013,2012-12-01,0.5581115717762208,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
336519,375,Nitrogen dioxide (NO2),ppb,203,Winter 2014-15,2014-12-01,1.0254480677548599,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
602730,375,Nitrogen dioxide (NO2),ppb,203,Summer 2018,2018-06-01,-0.38110970724654314,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
549787,375,Nitrogen dioxide (NO2),ppb,203,Summer 2017,2017-06-01,-0.2503464541138338,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
173129,365,Fine particles (PM 2.5),mcg/m3,203,Winter 2009-10,2009-12-01,-0.8041004043366982,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
669692,365,Fine particles (PM 2.5),mcg/m3,203,Summer 2020,2020-06-01,-1.181608230771998,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
547396,365,Fine particles (PM 2.5),mcg/m3,203,Annual Average 2017,2017-01-01,-1.1190692836215717,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
547395,365,Fine particles (PM 2.5),mcg/m3,203,Summer 2017,2017-06-01,-0.9360007292357788,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
669809,365,Fine particles (PM 2.5),mcg/m3,203,Summer 2020,2020-06-01,-1.181608230771998,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
212299,375,Nitrogen dioxide (NO2),ppb,203,Winter 2013-14,2013-12-01,1.3688437411990182,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
175426,375,Nitrogen dioxide (NO2),ppb,203,Winter 2012-13,2012-12-01,1.1073172349335996,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
336518,375,Nitrogen dioxide (NO2),ppb,203,Summer 2015,2015-06-01,-0.15938071280412297,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
667112,375,Nitrogen dioxide (NO2),ppb,203,Winter 2019-20,2019-12-01,1.1607596079530544,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
605692,365,Fine particles (PM 2.5),mcg/m3,203,Winter 2017-18,2017-12-01,-0.9962655328534623,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
175930,375,Nitrogen dioxide (NO2),ppb,203,Summer 2010,2010-06-01,0.3955103091851129,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
549336,386,Ozone (O3),ppb,203,Summer 2017,2017-06-01,1.3665695976662753,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
605239,386,Ozone (O3),ppb,203,Summer 2018,2018-06-01,1.4586724107423574,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
176014,375,Nitrogen dioxide (NO2),ppb,203,Summer 2012,2012-06-01,0.18515203240640654,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
602729,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2018,2018-01-01,0.2329090465940049,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
605690,365,Fine particles (PM 2.5),mcg/m3,203,Annual Average 2018,2018-01-01,-1.148633149547228,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
222458,386,Ozone (O3),ppb,203,Summer 2012,2012-06-01,1.6769901898856632,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
743717,386,Ozone (O3),ppb,203,Summer 2021,2021-06-01,1.4700431284060713,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
669810,365,Fine particles (PM 2.5),mcg/m3,203,Winter 2019-20,2019-12-01,-1.0872312741631731,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
338181,386,Ozone (O3),ppb,203,Summer 2015,2015-06-01,1.5701054438467532,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
221825,386,Ozone (O3),ppb,203,Summer 2009,2009-06-01,0.7912112838823544,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
670931,386,Ozone (O3),ppb,203,Summer 2020,2020-06-01,1.3404169470397336,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
172143,375,Nitrogen dioxide (NO2),ppb,203,Summer 2011,2011-06-01,0.375043017390428,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
172109,375,Nitrogen dioxide (NO2),ppb,203,Summer 2010,2010-06-01,0.3955103091851129,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
221827,386,Ozone (O3),ppb,203,Summer 2011,2011-06-01,1.5985322380060378,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
221826,386,Ozone (O3),ppb,203,Summer 2010,2010-06-01,1.6940462663812346,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
172177,375,Nitrogen dioxide (NO2),ppb,203,Summer 2012,2012-06-01,0.18515203240640654,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
172211,375,Nitrogen dioxide (NO2),ppb,203,Summer 2013,2013-06-01,0.15558816648075036,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
602846,375,Nitrogen dioxide (NO2),ppb,203,Annual Average 2018,2018-01-01,0.2329090465940049,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
173605,365,Fine particles (PM 2.5),mcg/m3,203,Summer 2009,2009-06-01,-0.7336019548216723,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
547513,365,Fine particles (PM 2.5),mcg/m3,203,Annual Average 2017,2017-01-01,-1.1190692836215717,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
171565,375,Nitrogen dioxide (NO2),ppb,203,Winter 2008-09,2008-12-01,1.7247472040732614,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
602848,375,Nitrogen dioxide (NO2),ppb,203,Winter 2017-18,2017-12-01,0.999295417128318,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
211966,365,Fine particles (PM 2.5),mcg/m3,203,Summer 2014,2014-06-01,-0.9553309492640923,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
334096,365,Fine particles (PM 2.5),mcg/m3,203,Annual Average 2015,2015-01-01,-0.9667016669278063,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
667346,375,Nitrogen dioxide (NO2),ppb,203,Winter 2019-20,2019-12-01,1.1607596079530544,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
221829,386,Ozone (O3),ppb,203,Summer 2013,2013-06-01,1.3972705353583028,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
221828,386,Ozone (O3),ppb,203,Summer 2012,2012-06-01,1.6769901898856632,8,203,Brooklyn,Bedford Stuyvesant - Crown Heights,203
